Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Full_address,Coords,LAT,LNG
2022,6,47,MAGDALENA,47001,SANTA MARTA,CENTRO COMERCIAL Y ESTACION DE SERVICIOS BASTIDAS,PETROMIL,CALLE 14 No. 27-195,BIODIESEL EXTRA,8900.0,A,"CALLE 14 No. 27-195, Santa marta, Colombia","(11.2408487, -74.1817258)",11.2408487,-74.1817258
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS ARCAS VIA ALTERNA,TERPEL,CALLE 11 No. 29 A-18,GASOLINA CORRIENTE OXIGENADA,9145.0,A,"CALLE 11 No. 29 A-18, Santa marta, Colombia","(11.2466107, -74.2127122)",11.2466107,-74.2127122
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS ARCAS VIA ALTERNA,TERPEL,CALLE 11 No. 29 A-18,BIODIESEL EXTRA,8970.0,A,"CALLE 11 No. 29 A-18, Santa marta, Colombia","(11.2466107, -74.2127122)",11.2466107,-74.2127122
2022,6,47,MAGDALENA,47001,SANTA MARTA,DISTRACOM LA QUINTA,TEXACO,CALLE 30 No. 31-242,BIODIESEL EXTRA,8460.0,A,"CALLE 30 No. 31-242, Santa marta, Colombia","(11.2336747, -74.2149005)",11.2336747,-74.2149005
2022,6,47,MAGDALENA,47001,SANTA MARTA,DISTRACOM LA QUINTA,TEXACO,CALLE 30 No. 31-242,GASOLINA CORRIENTE OXIGENADA,8770.0,A,"CALLE 30 No. 31-242, Santa marta, Colombia","(11.2336747, -74.2149005)",11.2336747,-74.2149005
2022,6,47,MAGDALENA,47001,SANTA MARTA,DISTRACOM LA QUINTA,TEXACO,CALLE 30 No. 31-242,GASOLINA EXTRA OXIGENADA,16790.0,A,"CALLE 30 No. 31-242, Santa marta, Colombia","(11.2336747, -74.2149005)",11.2336747,-74.2149005
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS MARINA SANTA MARTA,PETROBRAS,CARRERA 1 No. 22-93 BELLAVISTA,GASOLINA CORRIENTE OXIGENADA,9400.0,A,"CARRERA 1 No. 22-93 BELLAVISTA, Santa marta, Colombia","(11.2480344, -74.2137151)",11.2480344,-74.2137151
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS MARINA SANTA MARTA,PETROBRAS,CARRERA 1 No. 22-93 BELLAVISTA,BIODIESEL EXTRA,9600.0,A,"CARRERA 1 No. 22-93 BELLAVISTA, Santa marta, Colombia","(11.2480344, -74.2137151)",11.2480344,-74.2137151
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS SANTA MARTA,BIOMAX,CARRERA 15 AVENIDA FERROCARRIL No. 29-364 BARRIO BAVARIA,BIODIESEL EXTRA,8629.0,A,"CARRERA 15 AVENIDA FERROCARRIL No. 29-364 BARRIO BAVARIA, Santa marta, Colombia","(11.2299771, -74.1993421)",11.2299771,-74.1993421
2022,6,47,MAGDALENA,47001,SANTA MARTA,EDS SANTA MARTA,BIOMAX,CARRERA 15 AVENIDA FERROCARRIL No. 29-364 BARRIO BAVARIA,GASOLINA CORRIENTE OXIGENADA,8729.0,A,"CARRERA 15 AVENIDA FERROCARRIL No. 29-364 BARRIO BAVARIA, Santa marta, Colombia","(11.2299771, -74.1993421)",11.2299771,-74.1993421
